"統計名：","都道府県データ 社会生活統計指標"
"表番号：","0000010201"
"表題：","Ａ　人口・世帯"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","","/Ａ　人口・世帯 コード","#A011000","#A0110001","#A0110002","#A01101","#A01102","#A01201","#A01202","#A0191001","#A0191002","#A0191003","#A0191004","#A0191005","#A0191006","#A02101","#A02102","#A02103","#A02104","#A02105","#A03401","#A03402","#A03403","#A03404","#A03501","#A03502","#A03503","#A05101","#A05111","#A05201","#A05221","#A05202","#A05203","#A05204","#A0520401","#A0520402","#A05205","#A05218","#A05301","#A05302","#A05303","#A05307","#A05308","#A05309","#A06601","#A06602","#A06603","#A06604"
"","","","","","","/Ａ　人口・世帯 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"調査年 コード","調査年 補助コード","調査年","地域 コード","地域 補助コード","地域","/Ａ　人口・世帯","#A011000_総人口【万人】","#A0110001_総人口（男）【万人】","#A0110002_総人口（女）【万人】","#A01101_全国総人口に占める人口割合（A1101/A1101(全国)）【％】","#A01102_全国総人口に占める人口割合【％】","#A01201_総面積１km2当たり人口密度【人】","#A01202_可住地面積１km2当たり人口密度【人】","#A0191001_将来推計人口（2020年）【人】","#A0191002_将来推計人口（2025年）【人】","#A0191003_将来推計人口（2030年）【人】","#A0191004_将来推計人口（2035年）【人】","#A0191005_将来推計人口（2040年）【人】","#A0191006_将来推計人口（2045年）【人】","#A02101_人口性比（総数）（A110101/A110102）【‐】","#A02102_人口性比（15歳未満人口）(A130101/A130102)【‐】","#A02103_人口性比（15〜64歳人口）(A130201/A130202)【‐】","#A02104_人口性比（65歳以上人口) (A130301/A130302)【‐】","#A02105_人口性比（総数）【‐】","#A03401_年少人口指数【‐】","#A03402_老年人口指数【‐】","#A03403_従属人口指数【‐】","#A03404_老年化指数【‐】","#A03501_15歳未満人口割合【％】","#A03502_15〜64歳人口割合【％】","#A03503_65歳以上人口割合【％】","#A05101_人口増減率（（A1101/A1101（-1））-1）【％】","#A05111_人口増減率【‰】","#A05201_自然増減率（（A4101-A4200）/A1101）【％】","#A05221_自然増減率【‰】","#A05202_粗出生率（人口千人当たり）【‐】","#A05203_合計特殊出生率【‐】","#A05204_粗死亡率（人口千人当たり）【‐】","#A0520401_粗死亡率（男）（人口千人当たり）【‐】","#A0520402_粗死亡率（女）（人口千人当たり）【‐】","#A05205_年齢別死亡率（0〜4歳）（人口千人当たり）【‐】","#A05218_年齢別死亡率（65歳以上）（人口千人当たり）【‐】","#A05301_転入超過率（日本人移動者）【％】","#A05302_転入率（日本人移動者）【％】","#A05303_転出率（日本人移動者）【％】","#A05307_転入超過率【％】","#A05308_転入率【％】","#A05309_転出率【％】","#A06601_婚姻率（人口千人当たり）【‐】","#A06602_離婚率（人口千人当たり）【‐】","#A06603_婚姻率（人口千人当たり）【‐】","#A06604_離婚率（人口千人当たり）【‐】"
"2017100000","","2017年度","00000","","全国","","12,692","6,175","6,517","100.00","***","340.3","1,034.9","125,324,842","122,544,103","119,125,139","115,215,698","110,918,555","106,421,185","94.8","104.9","102.3","76.7","***","20.5","46.3","66.8","225.4","12.3","60.0","27.7","-0.10","***","-0.31","***","7.45","1.43","10.56","11.19","9.97","0.50","34.39","-","1.80","1.80","-","1.97","1.97","4.78","1.67","4.9","1.70"
"2017100000","","2017年度","01000","","北海道","","533","251","282","4.20","***","67.9","238.0","5,216,615","5,016,554","4,791,592","4,546,357","4,280,427","4,004,973","89.2","104.5","96.6","71.9","***","19.0","52.7","71.6","277.6","11.1","58.3","30.7","-0.56","***","-0.53","***","6.40","1.29","11.73","12.75","10.81","0.51","34.41","-0.12","0.91","1.04","-0.10","0.97","1.07","4.50","1.91","4.5","1.92"
"2017100000","","2017年度","02000","","青森県","","128","60","68","1.01","***","132.9","396.9","1,235,971","1,157,332","1,076,393","993,737","908,974","823,610","88.8","104.3","98.4","68.9","***","19.3","55.7","75.0","288.7","11.0","57.2","31.8","-1.00","***","-0.74","***","6.27","1.43","13.71","14.71","12.82","0.69","38.68","-0.47","1.36","1.84","-0.46","1.42","1.87","4.00","1.63","4.0","1.64"
"2017100000","","2017年度","03000","","岩手県","","125","60","65","0.99","***","82.1","337.6","1,224,194","1,161,638","1,096,141","1,028,673","957,788","884,518","92.6","105.7","104.3","72.4","***","20.3","56.3","76.5","277.8","11.5","56.7","31.9","-1.10","***","-0.72","***","6.52","1.47","13.74","14.36","13.17","0.65","38.95","-0.35","1.33","1.68","-0.35","1.39","1.74","3.81","1.48","3.8","1.49"
"2017100000","","2017年度","04000","","宮城県","","233","114","119","1.83","***","319.4","737.3","2,296,113","2,227,471","2,143,601","2,046,219","1,933,258","1,809,021","95.5","105.1","103.2","77.0","***","19.8","44.7","64.5","225.4","12.1","60.8","27.2","-0.26","***","-0.31","***","7.17","1.31","10.31","10.81","9.83","0.54","34.14","-0.05","1.98","2.03","-0.04","2.09","2.13","4.58","1.61","4.6","1.62"
"2017100000","","2017年度","05000","","秋田県","","100","47","53","0.79","***","85.8","311.8","955,838","885,285","814,295","744,014","672,617","601,649","88.8","104.1","100.4","69.9","***","18.7","65.4","84.1","350.5","10.1","54.3","35.6","-1.19","***","-1.00","***","5.40","1.35","15.44","15.99","14.96","0.66","39.66","-0.43","1.10","1.53","-0.43","1.13","1.56","3.31","1.37","3.3","1.38"
"2017100000","","2017年度","06000","","山形県","","110","53","57","0.87","***","118.3","382.3","1,072,473","1,015,910","957,314","897,075","833,844","768,490","93.0","104.8","102.3","74.9","***","21.1","57.5","78.6","273.1","11.8","56.0","32.2","-0.99","***","-0.73","***","6.58","1.45","13.90","14.01","13.82","0.49","39.92","-0.35","1.14","1.49","-0.34","1.19","1.52","3.91","1.32","3.9","1.33"
"2017100000","","2017年度","07000","","福島県","","189","93","95","1.49","***","136.8","447.2","1,827,632","1,733,103","1,635,235","1,533,521","1,426,392","1,314,903","97.6","105.6","108.8","77.8","***","20.1","52.1","72.2","258.6","11.7","58.1","30.2","-0.89","***","-0.61","***","7.01","1.57","13.14","13.49","12.81","0.47","39.39","-0.45","1.27","1.72","-0.42","1.37","1.80","4.28","1.70","4.3","1.71"
"2017100000","","2017年度","08000","","茨城県","","290","145","145","2.29","***","476.0","730.0","2,844,791","2,750,204","2,638,185","2,512,144","2,376,146","2,235,686","99.6","105.2","107.9","82.0","***","20.7","47.6","68.3","230.7","12.3","59.4","28.3","-0.27","***","-0.41","***","7.04","1.48","11.12","11.75","10.48","0.50","35.21","-0.10","1.58","1.68","-0.18","1.81","1.99","4.41","1.62","4.5","1.65"
"2017100000","","2017年度","09000","","栃木県","","196","98","99","1.55","***","306.2","657.8","1,930,235","1,872,842","1,805,949","1,730,414","1,647,288","1,560,619","99.2","105.9","107.4","80.5","***","20.8","45.6","66.4","218.8","12.5","60.1","27.4","-0.36","***","-0.40","***","7.15","1.45","11.13","11.45","10.81","0.53","36.39","-0.08","1.57","1.65","-0.24","1.82","2.06","4.48","1.64","4.6","1.67"
"2017100000","","2017年度","10000","","群馬県","","196","97","99","1.55","***","308.5","861.2","1,926,268","1,865,565","1,796,233","1,719,914","1,637,642","1,552,950","97.7","105.1","106.3","79.4","***","20.9","49.3","70.2","235.3","12.3","58.7","28.9","-0.30","***","-0.47","***","6.77","1.47","11.51","12.09","10.94","0.65","36.19","-0.18","1.33","1.52","-0.09","1.69","1.78","4.25","1.61","4.4","1.65"
"2017100000","","2017年度","11000","","埼玉県","","731","364","366","5.76","***","1,924.0","2,827.1","7,272,830","7,202,953","7,076,167","6,909,319","6,721,414","6,524,800","99.4","105.3","106.5","83.0","***","19.9","42.1","62.1","211.3","12.3","61.7","26.0","0.26","***","-0.17","***","7.26","1.36","9.00","9.82","8.18","0.43","30.68","0.20","2.21","2.01","0.30","2.53","2.23","4.62","1.66","4.7","1.70"
"2017100000","","2017年度","12000","","千葉県","","626","311","315","4.93","***","1,213.4","1,760.7","6,204,651","6,118,170","5,985,915","5,822,882","5,645,611","5,463,363","98.9","105.2","105.5","82.7","***","19.9","44.5","64.4","224.1","12.1","60.8","27.1","0.26","***","-0.24","***","7.04","1.34","9.43","10.28","8.59","0.54","30.96","0.26","2.32","2.06","0.20","2.58","2.38","4.58","1.66","4.7","1.69"
"2017100000","","2017年度","13000","","東京都","","1,377","678","699","10.85","***","6,275.4","9,686.0","13,732,951","13,845,936","13,882,538","13,851,782","13,758,624","13,606,683","97.1","104.5","104.3","76.3","***","17.1","35.0","52.1","204.9","11.2","65.7","23.0","0.89","***","-0.05","***","7.92","1.21","8.46","9.06","7.87","0.46","32.75","0.55","3.05","2.50","0.53","3.30","2.77","6.17","1.67","6.4","1.74"
"2017100000","","2017年度","14000","","神奈川県","","917","457","460","7.23","***","3,796.5","6,236.2","9,141,394","9,069,562","8,933,474","8,750,958","8,541,016","8,312,524","99.3","104.7","107.0","80.7","***","19.5","39.5","58.9","202.7","12.3","62.9","24.8","0.23","***","-0.13","***","7.43","1.34","8.76","9.47","8.05","0.59","31.50","0.14","2.27","2.12","0.19","2.47","2.27","5.04","1.68","5.1","1.71"
"2017100000","","2017年度","15000","","新潟県","","227","110","117","1.79","***","180.1","499.9","2,223,647","2,131,156","2,031,445","1,926,432","1,814,665","1,698,989","94.1","105.4","103.8","75.1","***","20.5","54.9","75.4","267.5","11.7","57.0","31.3","-0.83","***","-0.63","***","6.60","1.41","12.93","13.33","12.56","0.44","37.87","-0.29","0.94","1.23","-0.27","1.01","1.28","3.93","1.28","4.0","1.29"
"2017100000","","2017年度","16000","","富山県","","106","51","55","0.83","***","248.6","573.0","1,034,691","996,442","954,745","910,161","863,342","817,398","93.9","106.7","104.8","74.0","***","20.7","55.9","76.6","269.4","11.8","56.6","31.6","-0.47","***","-0.57","***","6.80","1.55","12.46","12.78","12.14","0.27","36.25","-0.10","1.17","1.27","-0.07","1.30","1.37","4.13","1.32","4.2","1.34"
"2017100000","","2017年度","17000","","石川県","","115","56","59","0.90","***","274.2","824.8","1,133,021","1,104,368","1,070,727","1,032,500","990,439","947,918","94.1","104.2","103.0","74.2","***","21.6","49.3","70.9","228.3","12.6","58.5","28.8","-0.26","***","-0.35","***","7.57","1.54","11.09","11.34","10.83","0.44","35.09","-0.05","1.56","1.61","-0.06","1.70","1.76","4.50","1.34","4.6","1.36"
"2017100000","","2017年度","18000","","福井県","","78","38","40","0.61","***","186.1","724.0","764,081","737,898","709,753","679,595","647,241","614,144","94.5","106.1","102.7","75.8","***","22.6","52.0","74.7","229.7","12.9","57.3","29.8","-0.38","***","-0.45","***","7.51","1.62","11.98","12.33","11.66","0.53","37.32","-0.19","1.12","1.32","-0.19","1.29","1.48","4.33","1.39","4.4","1.41"
"2017100000","","2017年度","19000","","山梨県","","83","40","42","0.65","***","185.0","865.5","800,729","763,274","724,352","683,945","641,932","598,935","96.0","106.3","104.7","77.5","***","20.7","51.1","71.8","247.5","12.0","58.2","29.8","-0.60","***","-0.48","***","6.91","1.50","11.72","12.14","11.34","0.50","36.02","-0.32","1.48","1.81","-0.39","1.65","2.04","4.37","1.66","4.5","1.69"
"2017100000","","2017年度","20000","","長野県","","208","102","107","1.64","***","153.5","645.5","2,033,235","1,957,953","1,877,667","1,793,174","1,704,857","1,614,511","95.2","104.7","103.8","77.7","***","22.2","55.3","77.6","248.8","12.5","56.3","31.1","-0.43","***","-0.54","***","6.98","1.56","12.33","12.56","12.10","0.34","36.68","-0.13","1.23","1.36","-0.12","1.37","1.49","4.31","1.54","4.4","1.57"
"2017100000","","2017年度","21000","","岐阜県","","201","98","104","1.59","***","189.4","909.9","1,972,964","1,901,131","1,820,918","1,735,195","1,645,898","1,556,529","94.0","104.8","100.5","78.5","***","22.2","50.7","73.0","228.3","12.9","57.8","29.3","-0.59","***","-0.44","***","6.98","1.51","11.42","12.08","10.79","0.51","35.68","-0.29","1.24","1.52","-0.37","1.46","1.83","4.17","1.47","4.3","1.51"
"2017100000","","2017年度","22000","","静岡県","","368","181","187","2.90","***","473.3","1,338.8","3,615,586","3,506,064","3,380,104","3,241,803","3,094,264","2,942,865","97.1","105.3","105.5","79.1","***","21.7","49.9","71.5","230.4","12.6","58.3","29.1","-0.24","***","-0.40","***","7.13","1.52","11.16","11.69","10.65","0.47","34.94","-0.14","1.36","1.50","-0.11","1.56","1.67","4.50","1.63","4.6","1.66"
"2017100000","","2017年度","23000","","愛知県","","753","376","377","5.93","***","1,455.3","2,519.2","7,505,224","7,455,615","7,359,302","7,227,958","7,070,766","6,899,465","99.9","105.1","107.8","80.7","***","21.7","39.7","61.4","183.4","13.4","62.0","24.6","0.25","***","-0.06","***","8.29","1.54","8.92","9.55","8.30","0.44","32.58","0.06","1.47","1.40","0.08","1.69","1.61","5.32","1.66","5.5","1.70"
"2017100000","","2017年度","24000","","三重県","","180","88","92","1.42","***","311.9","874.6","1,768,098","1,709,820","1,645,050","1,575,867","1,503,635","1,430,804","94.9","105.5","102.9","77.6","***","21.5","49.7","71.2","231.0","12.6","58.4","29.0","-0.44","***","-0.44","***","7.03","1.49","11.40","11.94","10.89","0.35","35.89","-0.23","1.42","1.65","-0.15","1.76","1.90","4.41","1.55","4.5","1.58"
"2017100000","","2017年度","25000","","滋賀県","","141","70","72","1.11","***","352.0","1,081.7","1,409,153","1,394,593","1,371,841","1,341,440","1,304,201","1,262,924","97.2","105.2","103.6","80.3","***","23.4","41.7","65.1","178.5","14.1","60.6","25.3","0.00","***","-0.10","***","8.20","1.54","9.25","9.56","8.96","0.50","33.44","-0.05","1.76","1.81","-0.04","1.98","2.02","4.66","1.56","4.7","1.59"
"2017100000","","2017年度","26000","","京都府","","260","125","136","2.05","***","564.6","2,218.4","2,573,772","2,509,875","2,430,849","2,338,843","2,238,226","2,136,807","91.6","105.3","98.0","75.0","***","19.9","48.0","67.9","241.2","11.9","59.6","28.6","-0.15","***","-0.30","***","7.11","1.31","10.15","10.67","9.67","0.44","32.49","-0.06","2.05","2.12","-0.05","2.22","2.28","4.56","1.58","4.7","1.61"
"2017100000","","2017年度","27000","","大阪府","","884","425","459","6.97","***","4,640.6","6,644.5","8,732,289","8,526,202","8,262,029","7,962,983","7,649,229","7,335,352","92.6","104.6","98.2","76.7","***","20.0","44.8","64.7","224.4","12.1","60.7","27.2","0.00","***","-0.23","***","7.53","1.35","9.85","10.93","8.85","0.53","32.54","0.03","1.73","1.70","0.01","1.86","1.84","5.14","1.92","5.3","1.96"
"2017100000","","2017年度","28000","","兵庫県","","552","263","289","4.35","***","656.5","1,981.7","5,443,224","5,306,083","5,139,095","4,948,778","4,742,647","4,532,499","91.1","105.0","96.3","76.2","***","21.3","47.9","69.2","225.1","12.6","59.1","28.3","-0.20","***","-0.27","***","7.54","1.47","10.26","11.07","9.52","0.43","32.87","-0.12","1.55","1.67","-0.11","1.68","1.79","4.62","1.65","4.7","1.68"
"2017100000","","2017年度","29000","","奈良県","","135","64","71","1.06","***","365.5","1,576.8","1,320,075","1,264,574","1,202,479","1,135,578","1,066,267","998,076","89.2","103.8","93.0","77.4","***","21.0","52.6","73.6","250.3","12.1","57.6","30.3","-0.59","***","-0.41","***","6.65","1.33","10.74","11.55","10.02","0.67","32.39","-0.26","1.72","1.97","-0.26","1.81","2.07","4.07","1.52","4.1","1.54"
"2017100000","","2017年度","30000","","和歌山県","","95","45","50","0.75","***","200.7","850.2","921,152","875,553","829,087","781,816","734,325","688,031","88.8","103.6","95.9","72.7","***","21.2","57.5","78.6","271.4","11.8","55.9","32.2","-0.84","***","-0.67","***","6.82","1.52","13.47","14.21","12.81","0.47","38.43","-0.37","1.13","1.50","-0.35","1.21","1.56","4.26","1.81","4.3","1.83"
"2017100000","","2017年度","31000","","鳥取県","","57","27","30","0.45","***","161.4","628.3","556,367","536,747","516,255","494,893","472,156","448,529","91.2","105.7","101.3","71.6","***","22.6","55.0","77.7","243.1","12.7","56.3","31.0","-0.70","***","-0.57","***","7.61","1.66","13.31","13.69","12.98","0.41","39.26","-0.26","1.50","1.77","-0.24","1.58","1.82","4.27","1.58","4.3","1.60"
"2017100000","","2017年度","32000","","島根県","","69","33","36","0.54","***","102.4","528.9","669,797","642,787","615,424","587,556","558,290","528,988","92.7","104.9","104.4","72.9","***","23.0","62.2","85.1","270.6","12.4","54.1","33.6","-0.58","***","-0.67","***","7.44","1.72","14.11","13.93","14.32","0.44","39.11","-0.22","1.44","1.66","-0.22","1.61","1.83","3.87","1.51","3.9","1.53"
"2017100000","","2017年度","33000","","岡山県","","191","92","99","1.51","***","268.6","861.3","1,889,729","1,846,230","1,796,872","1,741,517","1,681,383","1,620,031","92.3","105.9","99.8","75.0","***","22.2","51.7","73.8","233.3","12.8","57.5","29.7","-0.31","***","-0.35","***","7.80","1.54","11.31","11.74","10.91","0.41","35.02","-0.11","1.44","1.56","-0.17","1.55","1.73","4.62","1.70","4.7","1.72"
"2017100000","","2017年度","34000","","広島県","","283","137","146","2.23","***","334.1","1,225.8","2,814,088","2,758,220","2,689,284","2,609,116","2,520,520","2,428,818","94.0","104.4","102.6","75.5","***","22.3","49.0","71.2","219.8","13.0","58.4","28.6","-0.25","***","-0.31","***","7.82","1.56","10.87","11.25","10.51","0.54","34.69","-0.11","1.61","1.73","-0.20","1.71","1.92","4.65","1.62","4.7","1.65"
"2017100000","","2017年度","35000","","山口県","","138","66","73","1.09","***","226.1","809.6","1,352,379","1,292,809","1,230,324","1,165,692","1,099,619","1,035,661","90.0","105.0","100.0","71.7","***","21.7","61.0","82.7","281.7","11.9","54.7","33.4","-0.86","***","-0.67","***","6.84","1.57","13.54","14.19","12.94","0.92","37.34","-0.30","1.53","1.83","-0.26","1.64","1.90","4.11","1.59","4.1","1.60"
"2017100000","","2017年度","36000","","徳島県","","74","35","39","0.59","***","179.4","736.4","723,087","687,680","651,234","613,686","574,474","535,370","91.0","107.3","98.6","74.6","***","20.3","57.7","78.0","283.5","11.4","56.2","32.4","-0.80","***","-0.68","***","6.97","1.51","13.72","14.24","13.28","0.58","38.93","-0.26","1.23","1.50","-0.30","1.32","1.62","4.01","1.57","4.0","1.58"
"2017100000","","2017年度","37000","","香川県","","97","47","50","0.76","***","515.8","962.6","951,400","921,343","888,509","853,054","814,677","776,478","93.6","105.1","102.2","77.1","***","22.0","55.1","77.1","250.8","12.4","56.5","31.1","-0.51","***","-0.47","***","7.63","1.65","12.29","12.75","11.85","0.68","36.37","-0.10","1.77","1.87","-0.13","1.88","2.01","4.46","1.74","4.5","1.76"
"2017100000","","2017年度","38000","","愛媛県","","137","65","72","1.08","***","241.0","817.6","1,332,802","1,274,128","1,212,388","1,148,113","1,080,610","1,012,995","89.7","105.0","97.9","72.0","***","21.5","57.3","78.9","266.5","12.1","55.9","32.1","-0.65","***","-0.63","***","6.99","1.54","13.27","13.93","12.67","0.34","37.93","-0.24","1.25","1.49","-0.24","1.32","1.56","4.13","1.69","4.2","1.71"
"2017100000","","2017年度","39000","","高知県","","71","34","38","0.56","***","100.5","613.9","691,090","652,757","614,449","575,728","536,443","498,460","89.2","105.1","99.0","71.3","***","20.6","62.7","83.3","305.0","11.3","54.5","34.2","-0.97","***","-0.74","***","6.77","1.56","14.22","14.60","13.84","0.52","38.36","-0.30","1.26","1.55","-0.29","1.31","1.61","4.02","1.78","4.0","1.79"
"2017100000","","2017年度","40000","","福岡県","","512","242","270","4.04","***","1,027.4","1,855.1","5,097,530","5,042,774","4,955,295","4,841,878","4,704,812","4,554,486","89.7","105.2","95.9","71.5","***","22.1","45.4","67.6","205.0","13.2","59.7","27.1","0.20","***","-0.18","***","8.48","1.51","10.25","10.87","9.70","0.54","34.00","0.12","1.94","1.81","0.05","2.03","1.97","5.05","1.88","5.1","1.90"
"2017100000","","2017年度","41000","","佐賀県","","83","39","44","0.65","***","338.0","617.7","810,484","784,789","757,242","728,170","696,815","663,781","89.7","105.5","97.1","71.4","***","24.0","51.0","74.9","212.4","13.7","57.1","29.2","-0.48","***","-0.39","***","8.17","1.64","12.09","12.33","11.87","0.40","37.70","-0.25","1.85","2.10","-0.25","1.96","2.21","4.41","1.56","4.4","1.57"
"2017100000","","2017年度","42000","","長崎県","","136","64","72","1.07","***","328.0","809.0","1,320,596","1,257,939","1,192,223","1,124,291","1,053,851","982,200","88.5","106.0","96.1","71.0","***","22.9","56.0","78.9","245.1","12.8","55.9","31.3","-0.88","***","-0.51","***","7.79","1.70","12.93","13.32","12.58","0.63","37.52","-0.43","1.66","2.09","-0.48","1.72","2.20","4.30","1.54","4.3","1.55"
