"統計名：","都道府県データ 社会生活統計指標"
"2017100000","","2017年度","43000","","熊本県","","177","83","93","1.39","***","238.5","631.9","1,742,273","1,691,314","1,635,901","1,576,825","1,511,793","1,442,442","89.4","105.2","96.1","72.1","***","23.7","53.2","77.0","224.1","13.4","56.5","30.1","-0.45","***","-0.39","***","8.29","1.67","12.22","12.36","12.09","0.44","37.23","-0.22","1.54","1.75","-0.19","1.65","1.85","4.46","1.62","4.5","1.63"
"2017100000","","2017年度","44000","","大分県","","115","55","61","0.91","***","181.7","640.4","1,130,771","1,089,084","1,044,038","996,732","946,917","896,653","89.8","104.3","98.5","72.3","***","22.3","57.2","79.4","256.6","12.4","55.8","31.8","-0.69","***","-0.50","***","7.52","1.62","12.50","13.00","12.05","0.47","36.05","-0.25","1.50","1.75","-0.24","1.62","1.86","4.36","1.69","4.4","1.70"
"2017100000","","2017年度","45000","","宮崎県","","109","51","58","0.86","***","141.0","589.8","1,066,719","1,023,170","976,626","928,034","876,863","824,806","89.1","105.6","95.2","73.0","***","24.2","56.0","80.1","231.5","13.4","55.5","31.1","-0.55","***","-0.45","***","8.06","1.73","12.60","13.30","11.98","0.37","36.96","-0.30","1.62","1.93","-0.26","1.72","1.98","4.30","1.95","4.3","1.97"
"2017100000","","2017年度","46000","","鹿児島県","","163","76","86","1.28","***","177.0","490.8","1,583,263","1,510,970","1,436,753","1,361,575","1,284,036","1,204,146","88.6","105.7","94.2","72.8","***","23.9","55.2","79.2","230.9","13.4","55.8","30.8","-0.67","***","-0.53","***","8.12","1.69","13.43","13.94","12.97","0.56","39.81","-0.29","1.56","1.85","-0.24","1.64","1.89","4.39","1.70","4.4","1.71"
"2017100000","","2017年度","47000","","沖縄県","","145","71","74","1.14","***","634.8","1,238.6","1,459,570","1,468,236","1,469,847","1,465,761","1,452,321","1,428,305","96.7","104.1","100.7","80.4","***","27.7","33.9","61.6","122.7","17.1","61.9","21.0","0.42","***","0.30","***","11.20","1.94","8.25","9.01","7.51","0.60","33.10","-0.08","1.71","1.78","-0.09","1.79","1.89","5.58","2.41","5.7","2.44"
"2022100000","","2022年度","00000","","全国","","12,495","6,076","6,419","100.00","100.00","335.0","1,016.2","***","***","***","***","***","***","94.7","105.0","102.7","76.7","94.7","19.5","48.8","68.4","249.9","11.6","59.4","29.0","-0.44","-4.4","-0.64","-5.8","6.17","1.26","12.56","13.16","11.99","0.44","39.73","-","1.81","1.81","-","2.04","2.04","4.04","1.43","4.1","1.47"
"2022100000","","2022年度","01000","","北海道","","514","243","271","4.11","4.11","65.5","226.4","***","***","***","***","***","***","89.4","104.6","98.5","71.8","89.4","18.1","57.7","75.8","318.1","10.3","56.9","32.8","-0.83","-8.2","-0.93","-8.5","5.14","1.12","14.48","15.28","13.76","0.49","40.52","-0.08","0.95","1.03","-0.07","1.06","1.13","3.63","1.63","3.7","1.65"
"2022100000","","2022年度","02000","","青森県","","120","57","64","0.96","0.96","124.8","370.1","***","***","***","***","***","***","89.3","105.0","100.9","69.9","89.2","18.6","63.2","81.7","340.7","10.2","55.0","34.8","-1.39","-13.9","-1.17","-10.9","4.97","1.24","16.71","17.17","16.29","0.44","44.11","-0.36","1.35","1.71","-0.38","1.43","1.81","3.04","1.38","3.1","1.39"
"2022100000","","2022年度","03000","","岩手県","","118","57","61","0.95","0.94","77.3","314.8","***","***","***","***","***","***","93.3","104.9","105.1","74.0","93.3","19.3","63.0","82.3","326.4","10.6","54.9","34.6","-1.25","-13.2","-1.15","-10.4","4.90","1.21","16.38","16.47","16.29","0.65","43.75","-0.37","1.32","1.69","-0.37","1.43","1.80","2.97","1.26","3.0","1.27"
"2022100000","","2022年度","04000","","宮城県","","228","111","117","1.82","1.82","313.1","715.7","***","***","***","***","***","***","95.2","104.8","102.8","77.9","95.2","18.9","48.3","67.3","255.4","11.3","59.8","28.9","-0.44","-4.4","-0.67","-6.0","5.64","1.09","12.30","12.60","12.01","0.37","38.90","0.04","1.95","1.91","0.03","2.08","2.05","3.70","1.34","3.7","1.35"
"2022100000","","2022年度","05000","","秋田県","","93","44","49","0.74","0.74","79.9","287.6","***","***","***","***","***","***","89.4","104.8","102.9","71.0","89.5","17.8","74.2","91.9","417.4","9.3","52.1","38.6","-1.59","-15.9","-1.43","-13.1","4.29","1.18","18.55","18.78","18.35","0.30","44.93","-0.32","1.11","1.43","-0.30","1.18","1.47","2.63","1.15","2.6","1.15"
"2022100000","","2022年度","06000","","山形県","","104","51","54","0.83","0.83","111.7","362.3","***","***","***","***","***","***","94.2","105.5","104.3","77.5","94.1","20.0","64.0","83.9","320.4","10.9","54.3","34.8","-1.33","-13.1","-1.08","-10.0","5.45","1.32","16.22","16.17","16.27","0.71","43.59","-0.36","1.13","1.49","-0.34","1.25","1.59","3.06","1.15","3.1","1.16"
"2022100000","","2022年度","07000","","福島県","","179","88","91","1.43","1.43","129.9","423.1","***","***","***","***","***","***","97.6","104.2","108.9","78.7","97.6","19.6","58.2","77.8","297.5","11.0","56.3","32.7","-1.21","-12.0","-0.99","-9.2","5.42","1.27","15.30","15.26","15.35","0.58","43.03","-0.37","1.24","1.61","-0.38","1.38","1.75","3.40","1.43","3.4","1.44"
"2022100000","","2022年度","08000","","茨城県","","284","142","142","2.27","2.27","465.8","730.3","***","***","***","***","***","***","99.7","105.1","109.2","82.1","99.7","19.4","52.2","71.6","269.2","11.3","58.3","30.4","-0.42","-4.3","-0.75","-6.9","5.60","1.27","13.12","13.82","12.42","0.63","39.30","0.04","1.69","1.65","0.02","2.10","2.09","3.58","1.37","3.7","1.41"
"2022100000","","2022年度","09000","","栃木県","","191","95","96","1.53","1.53","297.9","635.3","***","***","***","***","***","***","99.6","106.7","108.8","81.6","99.6","19.4","51.0","70.4","263.6","11.4","58.7","29.9","-0.62","-6.5","-0.76","-6.9","5.51","1.24","13.09","13.43","12.77","0.34","39.92","-0.08","1.63","1.72","-0.02","2.01","2.03","3.75","1.39","3.8","1.43"
"2022100000","","2022年度","10000","","群馬県","","191","95","97","1.53","1.53","300.7","843.1","***","***","***","***","***","***","98.0","105.7","107.5","80.1","98.0","19.5","53.2","72.7","272.7","11.3","57.9","30.8","-0.73","-6.9","-0.83","-7.4","5.59","1.32","13.90","14.43","13.38","0.44","41.73","-0.09","1.43","1.52","-0.02","1.91","1.93","3.50","1.45","3.6","1.49"
"2022100000","","2022年度","11000","","埼玉県","","734","364","369","5.87","5.87","1,931.9","2,818.6","***","***","***","***","***","***","98.6","105.1","106.2","81.5","98.6","18.9","44.8","63.7","237.0","11.5","61.1","27.4","-0.04","-0.5","-0.53","-4.7","5.92","1.17","11.21","12.21","10.22","0.37","37.10","0.26","2.24","1.98","0.35","2.62","2.27","3.93","1.40","4.0","1.44"
"2022100000","","2022年度","12000","","千葉県","","627","310","316","5.01","5.01","1,215.1","1,773.5","***","***","***","***","***","***","98.2","105.2","106.0","80.7","98.2","18.9","46.2","65.1","244.5","11.4","60.6","28.0","-0.14","-1.5","-0.56","-5.0","5.90","1.18","11.53","12.51","10.57","0.49","37.40","0.30","2.31","2.01","0.14","2.61","2.48","3.96","1.37","4.1","1.41"
"2022100000","","2022年度","13000","","東京都","","1,404","689","715","11.24","11.24","6,398.2","9,866.5","***","***","***","***","***","***","96.4","104.8","103.1","76.0","96.4","16.5","34.4","50.9","208.6","10.9","66.3","22.8","0.20","2.0","-0.34","-3.0","6.49","1.04","9.92","10.43","9.43","0.42","39.15","0.24","2.84","2.60","0.27","3.13","2.86","5.36","1.37","5.6","1.43"
"2022100000","","2022年度","14000","","神奈川県","","923","458","465","7.39","7.39","3,820.7","6,263.0","***","***","***","***","***","***","98.4","104.9","106.4","79.2","98.4","18.2","41.1","59.3","226.3","11.4","62.8","25.8","-0.04","-0.4","-0.46","-4.0","6.12","1.17","10.70","11.49","9.93","0.47","37.51","0.24","2.33","2.08","0.30","2.58","2.28","4.35","1.39","4.5","1.42"
"2022100000","","2022年度","15000","","新潟県","","215","105","111","1.72","1.72","171.1","473.2","***","***","***","***","***","***","94.5","104.3","104.8","77.0","94.5","19.7","60.4","80.1","307.2","10.9","55.5","33.5","-1.10","-11.2","-0.96","-9.0","5.45","1.27","15.01","15.15","14.87","0.48","41.62","-0.28","0.95","1.23","-0.27","1.06","1.33","3.17","1.12","3.2","1.13"
"2022100000","","2022年度","16000","","富山県","","102","50","52","0.81","0.81","239.4","552.0","***","***","***","***","***","***","94.8","105.6","107.3","74.5","94.8","19.5","58.8","78.2","301.8","10.9","56.1","33.0","-0.78","-8.7","-0.89","-8.1","5.92","1.46","14.80","14.92","14.69","0.31","41.95","-0.15","1.16","1.31","-0.13","1.39","1.51","3.44","1.06","3.5","1.08"
"2022100000","","2022年度","17000","","石川県","","112","54","58","0.89","0.89","267.1","801.6","***","***","***","***","***","***","94.4","104.7","103.8","75.1","94.4","20.4","52.2","72.5","256.1","11.8","57.9","30.3","-0.62","-6.7","-0.65","-6.0","6.33","1.38","12.81","12.98","12.64","0.42","39.28","-0.19","1.47","1.66","-0.21","1.71","1.92","3.77","1.12","3.8","1.14"
"2022100000","","2022年度","18000","","福井県","","75","37","39","0.60","0.60","179.7","698.9","***","***","***","***","***","***","95.6","104.4","105.8","76.7","95.6","21.6","55.2","76.8","255.4","12.2","56.6","31.2","-0.92","-10.0","-0.75","-6.8","6.46","1.50","13.97","13.95","13.99","0.52","41.85","-0.34","1.12","1.46","-0.48","1.33","1.81","3.74","1.13","3.8","1.15"
"2022100000","","2022年度","19000","","山梨県","","80","39","41","0.64","0.64","179.6","841.5","***","***","***","***","***","***","96.6","104.5","106.3","78.7","96.6","19.3","54.8","74.1","283.1","11.1","57.4","31.5","-0.37","-4.3","-0.79","-7.2","5.93","1.40","13.83","14.01","13.65","0.54","40.74","-0.00","1.69","1.70","0.09","2.01","1.93","3.58","1.41","3.7","1.44"
"2022100000","","2022年度","20000","","長野県","","202","99","103","1.62","1.62","149.0","621.7","***","***","***","***","***","***","95.7","105.3","104.9","79.0","95.7","20.8","58.2","79.0","279.6","11.6","55.9","32.5","-0.64","-6.5","-0.81","-7.3","6.01","1.43","14.11","14.32","13.91","0.37","40.63","-0.01","1.38","1.38","0.03","1.63","1.60","3.61","1.27","3.7","1.29"
"2022100000","","2022年度","21000","","岐阜県","","195","95","100","1.56","1.56","183.2","880.3","***","***","***","***","***","***","94.4","104.4","102.4","78.2","94.4","20.8","54.4","75.2","261.5","11.9","57.1","31.0","-0.76","-7.7","-0.77","-7.0","5.72","1.36","13.45","14.22","12.73","0.58","40.29","-0.24","1.29","1.53","-0.20","1.70","1.90","3.35","1.32","3.5","1.36"
"2022100000","","2022年度","22000","","静岡県","","358","177","182","2.87","2.87","460.6","1,291.1","***","***","***","***","***","***","97.2","105.4","106.6","79.3","97.3","20.2","53.3","73.5","264.0","11.7","57.6","30.7","-0.72","-7.0","-0.75","-6.7","5.74","1.33","13.21","13.73","12.71","0.50","39.76","-0.17","1.36","1.53","-0.13","1.65","1.78","3.66","1.38","3.8","1.42"
"2022100000","","2022年度","23000","","愛知県","","750","373","376","6.00","6.00","1,448.8","2,501.7","***","***","***","***","***","***","99.3","105.4","107.4","79.7","99.3","20.5","41.5","62.0","202.5","12.6","61.7","25.6","-0.29","-2.9","-0.40","-3.5","6.82","1.35","10.83","11.54","10.13","0.43","38.64","-0.07","1.38","1.45","-0.11","1.65","1.76","4.46","1.48","4.6","1.53"
"2022100000","","2022年度","24000","","三重県","","174","85","89","1.39","1.39","301.7","843.9","***","***","***","***","***","***","95.5","105.1","104.5","77.6","95.6","20.2","52.7","72.9","260.3","11.7","57.9","30.5","-0.80","-7.7","-0.74","-6.7","6.02","1.40","13.40","13.84","12.97","0.24","40.94","-0.22","1.44","1.66","-0.26","1.83","2.09","3.70","1.42","3.8","1.47"
"2022100000","","2022年度","25000","","滋賀県","","141","70","71","1.13","1.13","350.7","1,084.2","***","***","***","***","***","***","97.3","105.5","104.1","80.0","97.4","22.0","44.7","66.7","203.2","13.2","60.0","26.8","-0.14","-1.1","-0.37","-3.1","6.93","1.43","10.68","11.12","10.25","0.48","36.72","0.04","1.84","1.81","0.11","2.24","2.13","4.00","1.30","4.1","1.34"
"2022100000","","2022年度","26000","","京都府","","255","122","133","2.04","2.04","552.9","2,166.0","***","***","***","***","***","***","91.3","105.8","98.6","74.4","91.3","18.7","49.9","68.6","267.7","11.1","59.3","29.6","-0.43","-4.5","-0.64","-6.1","5.91","1.18","12.35","13.12","11.64","0.56","38.66","-0.13","2.05","2.19","-0.08","2.32","2.40","3.75","1.38","3.9","1.41"
"2022100000","","2022年度","27000","","大阪府","","878","420","458","7.03","7.03","4,609.2","6,582.9","***","***","***","***","***","***","91.7","104.9","98.3","74.5","91.7","18.7","45.5","64.2","242.7","11.4","60.9","27.7","-0.27","-2.7","-0.56","-5.2","6.53","1.22","12.10","13.33","10.97","0.44","39.76","0.08","1.78","1.70","0.07","1.98","1.90","4.60","1.65","4.7","1.70"
"2022100000","","2022年度","28000","","兵庫県","","540","257","284","4.32","4.32","643.0","1,950.6","***","***","***","***","***","***","90.5","105.1","96.6","75.2","90.5","20.4","51.0","71.5","249.7","11.9","58.3","29.8","-0.55","-5.5","-0.61","-5.7","6.21","1.31","12.32","13.14","11.57","0.31","38.16","-0.11","1.56","1.67","-0.10","1.75","1.85","3.86","1.46","3.9","1.49"
"2022100000","","2022年度","29000","","奈良県","","131","61","69","1.05","1.05","353.8","1,529.5","***","***","***","***","***","***","88.9","104.1","93.9","76.3","88.9","20.1","57.6","77.7","285.8","11.4","56.3","32.4","-0.68","-7.2","-0.75","-7.0","5.60","1.25","13.14","14.04","12.37","0.55","37.72","-0.13","1.70","1.84","-0.09","1.87","1.97","3.22","1.36","3.3","1.38"
"2022100000","","2022年度","30000","","和歌山県","","90","43","48","0.72","0.72","191.1","803.8","***","***","***","***","***","***","89.3","104.0","97.2","73.4","89.2","20.4","62.0","82.4","304.0","11.2","54.8","34.0","-1.20","-11.3","-1.00","-9.5","5.80","1.39","15.84","16.63","15.14","0.45","43.35","-0.26","1.23","1.49","-0.22","1.36","1.58","3.54","1.53","3.6","1.55"
"2022100000","","2022年度","31000","","鳥取県","","54","26","28","0.44","0.44","155.1","601.6","***","***","***","***","***","***","91.5","106.3","101.4","73.1","91.7","22.1","60.4","82.6","272.7","12.2","54.8","33.1","-0.91","-9.1","-0.79","-7.6","6.90","1.60","14.76","14.84","14.69","0.25","41.53","-0.24","1.46","1.71","-0.24","1.59","1.83","3.64","1.40","3.7","1.42"
"2022100000","","2022年度","32000","","島根県","","66","32","34","0.53","0.53","98.1","517.7","***","***","***","***","***","***","93.5","107.9","105.3","74.8","93.8","22.6","65.4","88.0","289.9","12.0","53.3","34.7","-1.05","-10.5","-0.95","-8.8","6.32","1.57","15.86","15.92","15.80","0.22","42.87","-0.22","1.46","1.68","-0.27","1.60","1.88","3.29","1.24","3.3","1.25"
"2022100000","","2022年度","33000","","岡山県","","186","90","97","1.49","1.49","261.7","835.5","***","***","***","***","***","***","92.8","105.5","100.6","75.5","92.7","21.2","54.0","75.2","255.1","12.1","57.1","30.8","-0.75","-7.4","-0.67","-6.1","6.64","1.39","13.37","13.85","12.93","0.37","40.34","-0.19","1.40","1.58","-0.30","1.57","1.87","3.97","1.50","4.0","1.52"
"2022100000","","2022年度","34000","","広島県","","276","134","142","2.21","2.21","325.5","1,201.0","***","***","***","***","***","***","94.1","104.8","102.8","76.0","94.1","21.3","51.8","73.1","242.9","12.3","57.7","29.9","-0.72","-7.2","-0.62","-5.6","6.49","1.40","12.66","13.09","12.25","0.27","39.08","-0.22","1.51","1.72","-0.33","1.66","1.99","3.94","1.44","4.0","1.46"
"2022100000","","2022年度","35000","","山口県","","131","62","69","1.05","1.05","214.8","765.5","***","***","***","***","***","***","90.6","104.2","101.4","72.4","90.6","20.9","65.6","86.5","314.3","11.2","53.6","35.2","-1.13","-10.6","-0.98","-9.5","5.91","1.47","15.76","16.04","15.50","0.31","42.02","-0.21","1.58","1.79","-0.21","1.77","1.98","3.50","1.34","3.5","1.35"
"2022100000","","2022年度","36000","","徳島県","","70","34","37","0.56","0.56","169.8","692.7","***","***","***","***","***","***","91.3","105.4","100.0","75.7","91.5","19.6","64.4","84.0","328.0","10.7","54.3","35.0","-1.12","-11.4","-0.97","-9.3","5.89","1.42","15.58","15.92","15.27","0.27","41.49","-0.27","1.27","1.53","-0.32","1.41","1.73","3.37","1.43","3.4","1.44"
"2022100000","","2022年度","37000","","香川県","","93","45","48","0.75","0.75","497.6","929.3","***","***","***","***","***","***","93.4","105.6","102.3","76.6","93.5","21.1","57.9","78.9","274.5","11.8","55.8","32.4","-0.85","-8.7","-0.83","-7.6","6.21","1.45","14.51","14.73","14.30","0.31","41.96","-0.23","1.62","1.85","-0.28","1.81","2.09","3.68","1.58","3.7","1.60"
"2022100000","","2022年度","38000","","愛媛県","","131","62","69","1.05","1.05","230.1","784.0","***","***","***","***","***","***","90.4","104.2","99.4","73.0","90.4","20.5","61.9","82.4","301.4","11.3","54.8","33.9","-1.14","-10.9","-0.95","-9.0","5.80","1.39","15.31","15.65","15.00","0.34","42.06","-0.26","1.28","1.54","-0.30","1.42","1.72","3.43","1.48","3.5","1.49"
"2022100000","","2022年度","39000","","高知県","","68","32","36","0.54","0.54","95.2","582.5","***","***","***","***","***","***","89.9","105.7","100.6","71.8","89.7","20.0","67.8","87.8","338.9","10.6","53.3","36.1","-1.17","-12.2","-1.15","-10.8","5.50","1.36","16.97","17.39","16.60","0.62","43.98","-0.22","1.29","1.51","-0.21","1.40","1.61","3.24","1.58","3.3","1.59"
"2022100000","","2022年度","40000","","福岡県","","512","242","269","4.09","4.09","1,025.7","1,850.6","***","***","***","***","***","***","90.0","104.4","96.7","72.1","90.0","21.7","48.1","69.8","221.6","12.8","58.9","28.3","-0.16","-1.5","-0.50","-4.6","7.03","1.33","11.98","12.45","11.56","0.46","38.76","0.17","1.93","1.76","0.10","2.07","1.98","4.27","1.65","4.3","1.68"
"2022100000","","2022年度","41000","","佐賀県","","80","38","42","0.64","0.64","328.2","600.2","***","***","***","***","***","***","90.3","105.9","98.2","73.1","90.3","23.6","56.5","80.2","239.0","13.2","55.4","31.4","-0.62","-6.4","-0.71","-6.4","6.93","1.53","13.99","14.18","13.81","0.26","41.41","-0.14","1.87","2.01","-0.11","2.07","2.19","3.68","1.30","3.7","1.31"
"2022100000","","2022年度","42000","","長崎県","","128","60","68","1.03","1.03","310.6","769.2","***","***","***","***","***","***","89.0","105.2","96.6","73.0","88.9","22.9","63.0","85.9","275.3","12.3","53.8","33.9","-1.08","-10.6","-0.85","-8.2","6.52","1.57","15.05","15.34","14.80","0.30","41.39","-0.40","1.63","2.04","-0.41","1.75","2.15","3.44","1.36","3.5","1.38"
"2022100000","","2022年度","43000","","熊本県","","172","81","90","1.37","1.38","231.9","625.5","***","***","***","***","***","***","90.0","104.6","97.3","74.1","90.1","23.6","58.5","82.2","247.5","13.0","54.9","32.1","-0.58","-5.7","-0.73","-6.7","6.91","1.52","14.22","14.42","14.04","0.58","41.12","-0.04","1.61","1.65","-0.02","1.82","1.84","3.70","1.44","3.7","1.46"
"2022100000","","2022年度","44000","","大分県","","111","53","58","0.89","0.89","174.6","616.7","***","***","***","***","***","***","90.5","104.7","100.0","73.6","90.6","21.8","62.7","84.5","287.0","11.8","54.2","33.9","-0.63","-6.8","-0.86","-7.9","6.14","1.49","14.69","15.14","14.29","0.37","40.43","-0.16","1.57","1.73","-0.14","1.83","1.97","3.65","1.48","3.7","1.50"
"2022100000","","2022年度","45000","","宮崎県","","105","50","56","0.84","0.84","136.0","561.0","***","***","***","***","***","***","89.5","104.5","96.9","74.3","89.5","24.1","62.3","86.4","258.8","12.9","53.7","33.4","-0.85","-8.4","-0.85","-7.9","6.78","1.63","15.31","15.90","14.79","0.46","42.49","-0.17","1.61","1.78","-0.12","1.78","1.90","3.62","1.67","3.6","1.68"
"2022100000","","2022年度","46000","","鹿児島県","","156","74","83","1.25","1.25","170.1","475.5","***","***","***","***","***","***","89.5","105.1","95.3","76.1","89.5","24.0","62.4","86.4","260.2","12.9","53.6","33.5","-0.82","-8.7","-0.86","-8.1","6.74","1.54","15.31","15.61","15.04","0.55","42.32","-0.16","1.57","1.73","-0.15","1.72","1.87","3.60","1.57","3.6","1.58"
"2022100000","","2022年度","47000","","沖縄県","","147","72","75","1.17","1.18","643.3","1,303.6","***","***","***","***","***","***","96.9","105.1","101.4","82.0","96.9","27.1","38.9","66.1","143.3","16.3","60.2","23.5","0.00","-0.1","-0.10","-0.5","9.26","1.70","10.25","10.93","9.58","0.42","38.03","-0.09","1.75","1.84","-0.09","1.88","1.97","4.46","2.10","4.5","2.13"
